Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
nm,mN,N/m,nm,uN
8.779208658,0.183053268,72645.89859,1.599585678,114.228085
9.263961123,0.183915356,72921.45256,1.59827596,114.5629256
8.964319811,0.184835551,73062.27463,1.601768514,115.0356376
8.926975075,0.185742379,73170.97444,1.603951356,115.3628162
8.758897602,0.186662684,73286.87914,1.60657077,115.7217275
9.166207862,0.187548184,73368.18358,1.610063303,116.0839238
8.894043178,0.18848469,73388.58016,1.613992424,116.3804625
9.283865904,0.189380492,73376.13554,1.618794662,116.6857582
8.90345055,0.190333605,73289.83498,1.627089468,117.1092287
9.388198772,0.191232172,73229.91839,1.63276484,117.3959226
9.433286542,0.192165417,73221.56479,1.63713052,117.6694836
9.524171681,0.193100164,73206.05375,1.643679039,118.0820138
9.258665277,0.194064039,73412.39541,1.643679047,118.3982491
9.686788454,0.194985173,73657.78672,1.642805898,118.7221471
9.395467582,0.195960291,73814.62788,1.644115611,119.0657382
9.660382561,0.196902123,73952.67805,1.645861876,119.4126145
9.410695038,0.197883966,74085.26064,1.647171588,119.7255671
9.616487956,0.198839517,74339.90512,1.64760815,120.1873387
9.282697686,0.19983686,74505.42527,1.648044728,120.504668
9.578419907,0.200796017,74737.21043,1.647171583,120.8329425
9.227974711,0.201804313,74964.54305,1.646298458,121.1634023
9.5228631,0.202773358,75327.0536,1.644552176,121.6623787
9.493834806,0.203769477,75403.03804,1.646735018,121.9698612
9.699624301,0.204754463,75428.15011,1.649790988,122.248894
9.401636231,0.205778913,75580.74015,1.650664134,122.5793542
9.838912157,0.206758153,75842.92728,1.649790984,122.9503046
10.38360443,0.207734853,76085.69242,1.64891783,123.2851455
11.05653026,0.208707687,76435.63578,1.648044675,123.7863119
10.73022846,0.209753892,76688.51315,1.647171548,124.1222434
11.03593717,0.21076203,76890.5327,1.647171539,124.4527061
10.84869327,0.211809018,77319.19695,1.644552136,124.9516804
11.31094636,0.212816702,77612.13018,1.64280585,125.2985577
11.29606793,0.213862158,77984.36894,1.639313305,125.6432444
11.40525958,0.214904354,78507.92226,1.633201348,126.0317012
10.88660296,0.215994808,79090.36536,1.626652841,126.4683024
11.33636326,0.217024375,79726.01884,1.619231171,126.9300748
11.45054921,0.218082043,80647.92677,1.608316964,127.5745849
11.57722488,0.219144193,81379.82005,1.59914903,128.029791
11.35500315,0.220235571,82194.12243,1.588671402,128.5035974
11.73564778,0.221291081,83067.38214,1.577757187,128.9927261
11.42432705,0.222399351,84323.75405,1.56291388,129.7083601
11.93653531,0.223456672,85054.29195,1.555055639,130.1723214
11.47033313,0.224586408,85777.41757,1.547633994,130.6406557
11.87012707,0.225662414,86561.45164,1.541958598,131.3431618
11.58045372,0.226791089,86804.04103,1.540648901,131.5992137
11.9161293,0.227882541,87276.00165,1.541085461,132.3345469
11.79215981,0.229010993,87564.04655,1.541522032,132.7897517
12.27938353,0.230103182,87731.3966,1.543704859,133.2022838
11.63831274,0.231278199,87757.70973,1.548070558,133.5940201
12.04726236,0.232387132,87611.81664,1.557675046,134.1838193
12.12230296,0.233524483,87454.00065,1.564660133,134.5394488
12.14238541,0.234671319,87404.16407,1.569898951,134.9027378
