Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
21.3,3.885399253,0.079972089,44440.42803,1.458128257,63.56903362
21.4,4.016326981,0.080341685,44329.08693,1.467279703,63.78589677
21.5,3.604071848,0.080750455,44236.58395,1.475995315,64.01583479
21.6,3.948615282,0.081105898,43876.10218,1.495169779,64.29590495
21.7,3.632777366,0.081513111,43629.08137,1.508243224,64.47789355
21.8,3.944903756,0.081874807,43302.76262,1.523931425,64.64135925
21.9,3.869279366,0.08226765,42942.40062,1.541798502,64.8277078
22,4.211743615,0.082630888,42694.36463,1.555743577,65.03149453
22.1,4.078766448,0.083031917,42450.4487,1.571431735,65.30611353
22.2,4.208445258,0.083415031,42289.68822,1.581454747,65.47284787
22.3,4.087935328,0.083819049,42196.1548,1.589298821,65.65592703
22.4,4.371383806,0.084194492,42195.11841,1.595835589,65.93599689
22.5,4.214300858,0.084605188,42257.1471,1.598014486,66.12670425
22.6,4.31156197,0.084998673,42392.74807,1.597578715,66.32831076
22.7,3.961642124,0.085427962,42668.48612,1.594092419,66.63780152
22.8,4.379742225,0.085801294,42942.26785,1.588863073,66.86447345
22.9,3.97330076,0.086238911,43334.14726,1.580147382,67.1325532
23,4.159497984,0.086633852,43640.91481,1.574918012,67.40826356
23.1,4.03067358,0.087054638,43909.87549,1.570124392,67.64801044
23.2,4.426330242,0.08743779,44356.41134,1.561844565,68.02180004
23.3,4.057291056,0.08788078,44599.28608,1.558358269,68.26045635
23.4,4.581781631,0.088258364,44828.87504,1.555743627,68.51110335
23.5,4.365680899,0.088693864,45121.9662,1.552693129,68.85764635
23.6,4.482056146,0.089106386,45323.70246,1.550514229,69.09521516
23.7,4.442998376,0.089532774,45620.04581,1.547899531,69.45701531
23.8,4.61340036,0.089945406,45720.67214,1.549206896,69.68041744
23.9,4.247683936,0.090400697,45833.01428,1.551821556,69.96811272
24,4.58681696,0.090804918,46003.53567,1.551821591,70.21657976
24.1,4.320011554,0.091257053,46142.66957,1.553128912,70.45850555
24.2,4.542777177,0.091674409,46209.34471,1.556179413,70.67645878
24.3,4.628395996,0.09210416,46313.69632,1.560537248,71.00992585
24.4,4.832874756,0.092527114,46387.5032,1.563151965,71.22678931
24.5,4.737293289,0.092974892,46451.51631,1.566202434,71.44147175
24.6,4.838703694,0.093409999,46546.31582,1.570560271,71.75314404
24.7,4.886917532,0.093851358,46649.89082,1.572303407,71.96891656
24.8,5.018250111,0.094288589,46926.66402,1.570996073,72.30456392
24.9,5.126309001,0.09472976,47071.30485,1.569688738,72.45604081
25,4.970048849,0.095193148,47475.74649,1.56576668,72.87232932
25.1,4.965896249,0.095647374,47851.57603,1.559229942,73.13932066
25.2,4.94678186,0.096104956,48307.67122,1.55051429,73.4215688
25.3,4.898575414,0.096567114,49063.11154,1.53569768,73.85529353
25.4,5.028243448,0.097018089,49616.97593,1.52480313,74.1604273
25.5,4.68246996,0.097507299,50226.54384,1.512601186,74.4786361
25.6,4.960089221,0.097951739,51172.12036,1.494298347,74.9766584
25.7,5.101392818,0.09840881,51646.9068,1.486454276,75.28941986
25.8,5.234384157,0.098868719,52269.77667,1.477302856,75.76128748
25.9,5.086432607,0.099352265,52492.07513,1.474252368,75.94218688
26,5.310023001,0.099810036,52945.59665,1.470766121,76.46527349
26.1,5.315841012,0.100286656,53026.3895,1.473816612,76.76495749
26.2,5.27511196,0.100769147,53062.22154,1.477738646,77.03957763
26.3,5.33495662,0.101246444,52956.44552,1.485582742,77.30983831
26.4,5.482075943,0.10171953,52704.74945,1.499527792,77.67599889
26.5,5.601765588,0.102197075,52461.00647,1.510858159,77.89831043
26.6,5.890186609,0.102664231,52268.92476,1.520881179,78.11953319
26.7,5.634177219,0.103174933,52222.07723,1.529596814,78.46825585
26.8,5.850283853,0.103652468,52270.56622,1.53351887,78.71127345
26.9,5.895995973,0.104145286,52452.08944,1.534826232,79.0131374
27,5.886849097,0.104644751,52729.44848,1.533518874,79.32589912
27.1,5.757179149,0.105155791,53248.14191,1.527853701,79.77596968
27.2,6.097131647,0.105633919,53611.13456,1.523495903,80.07783511
27.3,5.874367525,0.106156981,54081.07548,1.516523362,80.39604457
27.4,6.019820557,0.106654823,54961.89891,1.501706768,80.89733533
27.5,5.983242384,0.107168924,55587.75068,1.491247988,81.24714858
27.6,6.338154731,0.107655948,56187.97151,1.481660799,81.59805312
